Question,Answer,Generated_Cypher
What is the cwe of the cve with description 'Chevereto before 3.17.1 allows Cross Site Scripting (XSS) via an image title at the image upload stage.'?,CWE-79,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""chevereto"")\n         AND toLower(cve.description) CONTAINS toLower(""cross site scripting"")\n         AND toLower(cve.description) CONTAINS toLower(""image title"")\n         AND toLower(cve.description) CONTAINS toLower(""image upload stage"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""chevereto"")\n         AND toLower(cve.description) CONTAINS toLower(""cross site scripting"")\n         AND toLower(cve.description) CONTAINS toLower(""image title"")\n         AND toLower(cve.description) CONTAINS toLower(""image upload stage"")\n         RETURN cve', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""chevereto"")\n         AND toLower(cve.description) CONTAINS toLower(""cross site scripting"")\n         AND toLower(cve.description) CONTAINS toLower(""image title"")\n         AND toLower(cve.description) CONTAINS toLower(""image upload stage"")\n         RETURN cve, w\n         LIMIT 1', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""chevereto"")\n         AND toLower(cve.description) CONTAINS toLower(""cross site scripting"")\n         AND toLower(cve.description) CONTAINS toLower(""image title"")\n         AND toLower(cve.description) CONTAINS toLower(""image upload stage"")\n         RETURN cve, w\n         LIMIT 1', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""chevereto"")\n         AND toLower(cve.description) CONTAINS toLower(""cross site scripting"")\n         AND toLower(cve.description) CONTAINS toLower(""image title"")\n         AND toLower(cve.description) CONTAINS toLower(""image upload stage"")\n         RETURN cve, w\n         LIMIT 1', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""chevereto"")\n         AND toLower(cve.description) CONTAINS toLower(""cross site scripting"")\n         AND toLower(cve.description) CONT']"
"What is the cwe of the cve with description 'AMD Graphics Driver for Windows 10, amdfender.sys may improperly handle input validation on InputBuffer which may result in a denial of service (DoS).'?",CWE-20,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""amd graphics driver"")\n         AND toLower(cve.description) CONTAINS toLower(""amdfender.sys"")\n         AND toLower(cve.description) CONTAINS toLower(""denial of service"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""amd graphics driver"")\n         AND toLower(cve.description) CONTAINS toLower(""amdfender.sys"")\n         AND toLower(cve.description) CONTAINS toLower(""denial of service"")\n         RETURN cve', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""amd graphics driver"")\n         AND toLower(cve.description) CONTAINS toLower(""amdfender.sys"")\n         AND toLower(cve.description) CONTAINS toLower(""denial of service"")\n         RETURN cve, w\n         LIMIT 5', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""amd graphics driver"")\n         AND toLower(cve.description) CONTAINS toLower(""amdfender.sys"")\n         AND toLower(cve.description) CONTAINS toLower(""denial of service"")\n         RETURN cve, w\n         LIMIT 5', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""amd graphics driver"")\n         AND toLower(cve.description) CONTAINS toLower(""amdfender.sys"")\n         AND toLower(cve.description) CONTAINS toLower(""denial of service"")\n         RETURN cve, w\n         LIMIT 5', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""amd graphics driver"")\n         AND toLower(cve.description) CONTAINS toLower(""amdfender.sys"")\n         AND toLower(cve.description) CONTAINS toLower(""denial of service"")\n         RETURN cve, w\n         LIMIT 5', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""amd graphics driver"")\n         AND toLower(cve.description) CONTAINS toLower(""amdfender.sys"")']"
What is the cwe of the cve with description 'GNU Mailman before 2.1.33 allows arbitrary content injection via the Cgi/private.py private archive login page.'?,CWE-74,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""gnu mailman"")\n         AND toLower(cve.description) CONTAINS toLower(""before 2.1.33"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary content injection"")\n         AND toLower(cve.description) CONTAINS toLower(""private archive login page"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""gnu mailman"")\n         AND toLower(cve.description) CONTAINS toLower(""before 2.1.33"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary content injection"")\n         AND toLower(cve.description) CONTAINS toLower(""private archive login page"")\n         RETURN cve', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""gnu mailman"")\n         AND toLower(cve.description) CONTAINS toLower(""before 2.1.33"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary content injection"")\n         AND toLower(cve.description) CONTAINS toLower(""private archive login page"")\n         RETURN cve, w\n         LIMIT 5', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""gnu mailman"")\n         AND toLower(cve.description) CONTAINS toLower(""before 2.1.33"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary content injection"")\n         AND toLower(cve.description) CONTAINS toLower(""private archive login page"")\n         RETURN cve, w\n         LIMIT 5', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""gnu mailman"")\n         AND toLower(cve.description) CONTAINS toLower(""before 2.1.33"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary content injection"")\n         AND toLower(cve.description) CONTAINS toLower(""private archive login page"")\n         RETURN cve, w\n         LIMIT 5', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description)']"
What is the cwe of the cve with description 'WTCMS 1.0 contains a stored cross-site scripting (XSS) vulnerability in the source field under the article management module.'?,CWE-79,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""wtcms 1.0"")\n         AND toLower(cve.description) CONTAINS toLower(""stored cross-site scripting (xss)"")\n         AND toLower(cve.description) CONTAINS toLower(""source field under the article management module"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""wtcms 1.0"")\n         AND toLower(cve.description) CONTAINS toLower(""stored cross-site scripting (xss)"")\n         AND toLower(cve.description) CONTAINS toLower(""article management module"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""wtcms 1.0"")\n         AND toLower(cve.description) CONTAINS toLower(""cross-site scripting (xss)"")\n         AND toLower(cve.description) CONTAINS toLower(""article management module"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w\n---', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""wtcms 1.0"")\n         AND toLower(cve.description) CONTAINS toLower(""stored cross-site scripting (xss)"")\n         AND toLower(cve.description) CONTAINS toLower(""source field under the article management module"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""wtcms 1.0"")\n         AND toLower(cve.description) CONTAINS toLower(""stored cross-site scripting (xss)"")\n         AND toLower(cve.description) CONTAINS toLower(""article management module"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN']"
"What is the cwe of the cve with description 'Adobe Acrobat and Reader versions 2019.012.20035 and earlier, 2019.012.20035 and earlier, 2017.011.30142 and earlier, 2017.011.30143 and earlier, 2015.006.30497 and earlier, and 2015.006.30498 and earlier have an out-of-bounds read vulnerability. Successful exploitation could lead to information disclosure .'?",CWE-125,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""adobe acrobat"")\n         AND toLower(cve.description) CONTAINS toLower(""out-of-bounds read"")\n         AND toLower(cve.description) CONTAINS toLower(""information disclosure"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""adobe acrobat"")\n         AND toLower(cve.description) CONTAINS toLower(""out-of-bounds read"")\n         AND toLower(cve.description) CONTAINS toLower(""information disclosure"")\n         RETURN cve', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""adobe acrobat"")\n         AND toLower(cve.description) CONTAINS toLower(""out-of-bounds read"")\n         AND toLower(cve.description) CONTAINS toLower(""information disclosure"")\n         RETURN cve, w\n         LIMIT 5', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""adobe acrobat"")\n         AND toLower(cve.description) CONTAINS toLower(""out-of-bounds read"")\n         AND toLower(cve.description) CONTAINS toLower(""information disclosure"")\n         RETURN cve, w\n         LIMIT 5', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""adobe acrobat"")\n         AND toLower(cve.description) CONTAINS toLower(""out-of-bounds read"")\n         AND toLower(cve.description) CONTAINS toLower(""information disclosure"")\n         RETURN cve, w\n         LIMIT 5', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""adobe acrobat"")\n         AND toLower(cve.description) CONTAINS toLower(""out-of-bounds read"")\n         AND toLower(cve.description) CONTAINS toLower(""information disclosure"")\n         RETURN cve, w\n         LIMIT 5', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""adobe acrobat"")\n         AND toLower(cve.description) CONTAINS toLower(""out-of-bounds']"
"What is the cwe of the cve with description 'SAP 3D Visual Enterprise Viewer, version - 9, allows a user to open manipulated BMP file received from untrusted sources which results in crashing of the application and becoming temporarily unavailable until the user restarts the application, this is caused due to Improper Input Validation.'?",CWE-787,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""sap 3d visual enterprise viewer"")\n         AND toLower(cve.description) CONTAINS toLower(""improper input validation"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""sap 3d visual enterprise viewer"")\n         AND toLower(cve.description) CONTAINS toLower(""crashing of the application"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""improper input validation"")\n         AND toLower(cve.description) CONTAINS toLower(""crashing of the application"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""sap 3d visual enterprise viewer"")\n         AND toLower(cve.description) CONTAINS toLower(""improper input validation"")\n         AND toLower(cve.description) CONTAINS toLower(""crashing of the application"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""improper input validation"")\n         AND toLower(cve.description) CONTAINS toLower(""sap 3d visual enterprise viewer"")\n         AND toLower(cve.description) CONTAINS toLower(""crashing of the application"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""crashing of the application"")\n         AND toLower(cve.description) CONTAINS toLower(""improper input validation"")\n         AND toLower(cve.description) CONTAINS toLower(""sap 3d visual enterprise viewer"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS to']"
"What is the cwe of the cve with description 'The Splash Header WordPress plugin before 1.20.8 doesn't sanitise and escape some of its settings while outputting them in the admin dashboard, leading to an authenticated Stored Cross-Site Scripting issue.'?",CWE-79,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""splash header"")\n         AND toLower(cve.description) CONTAINS toLower(""wordpress plugin"")\n         AND toLower(cve.description) CONTAINS toLower(""stored cross-site scripting"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""splash header"")\n         AND toLower(cve.description) CONTAINS toLower(""wordpress plugin"")\n         AND toLower(cve.description) CONTAINS toLower(""cross-site scripting"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""splash header"")\n         AND toLower(cve.description) CONTAINS toLower(""wordpress"")\n         AND toLower(cve.description) CONTAINS toLower(""cross-site scripting"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""splash header"")\n         AND toLower(cve.description) CONTAINS toLower(""wordpress"")\n         AND toLower(cve.description) CONTAINS toLower(""stored cross-site scripting"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""splash header"")\n         AND toLower(cve.description) CONTAINS toLower(""wordpress"")\n         AND toLower(cve.description) CONTAINS toLower(""cross-site scripting"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""splash header"")\n         AND toLower(cve.description) CONTAINS toLower(""wordpress"")\n         AND toLower(cve.description) CONTAINS toLower(""stored cross-site scripting"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description)']"
"What is the cwe of the cve with description 'Baxter ExactaMix EM 2400 Versions 1.10, 1.11 and ExactaMix EM1200 Versions 1.1, 1.2 systems store device data with sensitive information in an unencrypted database. This could allow an attacker with network access to view or modify sensitive data including PHI.'?",CWE-312,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""baxter exactamix"")\n         AND toLower(cve.description) CONTAINS toLower(""unencrypted database"")\n         AND toLower(cve.description) CONTAINS toLower(""sensitive data"")\n         AND toLower(cve.description) CONTAINS toLower(""phi"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""baxter exactamix"")\n         AND toLower(cve.description) CONTAINS toLower(""unencrypted database"")\n         AND toLower(cve.description) CONTAINS toLower(""sensitive data"")\n         AND toLower(cve.description) CONTAINS toLower(""phi"")\n         RETURN cve', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""baxter exactamix"")\n         AND toLower(cve.description) CONTAINS toLower(""unencrypted database"")\n         AND toLower(cve.description) CONTAINS toLower(""sensitive data"")\n         AND toLower(cve.description) CONTAINS toLower(""phi"")\n         RETURN cve, w\n         LIMIT 5', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""baxter exactamix"")\n         AND toLower(cve.description) CONTAINS toLower(""unencrypted database"")\n         AND toLower(cve.description) CONTAINS toLower(""sensitive data"")\n         AND toLower(cve.description) CONTAINS toLower(""phi"")\n         RETURN cve, w\n         LIMIT 5', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""baxter exactamix"")\n         AND toLower(cve.description) CONTAINS toLower(""unencrypted database"")\n         AND toLower(cve.description) CONTAINS toLower(""sensitive data"")\n         AND toLower(cve.description) CONTAINS toLower(""phi"")\n         RETURN cve, w\n         LIMIT 5', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""baxter exactamix"")\n         AND toLower(cve.description) CONTAINS toLower(""unencrypted database"")\n         AND']"
"What is the cwe of the cve with description 'Buffer overflow in the Java Virtual Machine (JVM) in IBM SDK, Java Technology Edition 6 before SR16 FP25 (6.0.16.25), 6 R1 before SR8 FP25 (6.1.8.25), 7 before SR9 FP40 (7.0.9.40), 7 R1 before SR3 FP40 (7.1.3.40), and 8 before SR3 (8.0.3.0) allows remote attackers to execute arbitrary code via unspecified vectors.'?",CWE-119,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""buffer overflow"")\n         AND toLower(cve.description) CONTAINS toLower(""java virtual machine"")\n         AND toLower(cve.description) CONTAINS toLower(""ibm sdk"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary code"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""buffer overflow"")\n         AND toLower(cve.description) CONTAINS toLower(""java virtual machine"")\n         AND toLower(cve.description) CONTAINS toLower(""ibm sdk"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary code"")\n         AND toLower(cve.description) CONTAINS toLower(""unspecified vectors"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""buffer overflow"")\n         AND toLower(cve.description) CONTAINS toLower(""java virtual machine"")\n         AND toLower(cve.description) CONTAINS toLower(""ibm sdk"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary code"")\n         AND toLower(cve.description) CONTAINS toLower(""java technology edition"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""buffer overflow"")\n         AND toLower(cve.description) CONTAINS toLower(""java virtual machine"")\n         AND toLower(cve.description) CONTAINS toLower(""ibm sdk"")\n         AND toLower(cve.description) CONTAINS toLower(""arbitrary code"")\n         AND toLower(cve.description) CONTAINS toLower(""sr16 fp25"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""buffer overflow"")\n         AND toLower(cve.description) CONTAINS toLower(""java virtual machine"")\n         AND toLower(cve.description) CONTAINS toLower(""ibm sdk']"
"What is the cwe of the cve with description 'Adobe Acrobat and Reader versions 2020.009.20074 and earlier, 2020.001.30002, 2017.011.30171 and earlier, and 2015.006.30523 and earlier have an out-of-bounds read vulnerability. Successful exploitation could lead to information disclosure.'?",CWE-125,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""adobe acrobat"")\n         AND toLower(cve.description) CONTAINS toLower(""out-of-bounds read"")\n         AND toLower(cve.description) CONTAINS toLower(""information disclosure"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""adobe acrobat"")\n         AND toLower(cve.description) CONTAINS toLower(""out-of-bounds read"")\n         AND toLower(cve.description) CONTAINS toLower(""information disclosure"")\n         RETURN cve', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""adobe acrobat"")\n         AND toLower(cve.description) CONTAINS toLower(""out-of-bounds read"")\n         AND toLower(cve.description) CONTAINS toLower(""information disclosure"")\n         RETURN cve, w\n         LIMIT 1', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""adobe acrobat"")\n         AND toLower(cve.description) CONTAINS toLower(""out-of-bounds read"")\n         AND toLower(cve.description) CONTAINS toLower(""information disclosure"")\n         RETURN cve, w\n         LIMIT 1', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""adobe acrobat"")\n         AND toLower(cve.description) CONTAINS toLower(""out-of-bounds read"")\n         AND toLower(cve.description) CONTAINS toLower(""information disclosure"")\n         RETURN cve, w\n         LIMIT 1', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""adobe acrobat"")\n         AND toLower(cve.description) CONTAINS toLower(""out-of-bounds read"")\n         AND toLower(cve.description) CONTAINS toLower(""information disclosure"")\n         RETURN cve, w\n         LIMIT 1', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""adobe acrobat"")\n         AND toLower(cve.description) CONTAINS toLower(""out-of-bounds']"
"What is the cwe of the cve with description 'The Easy Digital Downloads (EDD) CSV Manager extension for WordPress, as used with EDD 1.8.x before 1.8.7, 1.9.x before 1.9.10, 2.0.x before 2.0.5, 2.1.x before 2.1.11, 2.2.x before 2.2.9, and 2.3.x before 2.3.7, has XSS because add_query_arg is misused.'?",CWE-79,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""easy digital downloads"")\n         AND toLower(cve.description) CONTAINS toLower(""csv manager"")\n         AND toLower(cve.description) CONTAINS toLower(""xss"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""easy digital downloads"")\n         AND toLower(cve.description) CONTAINS toLower(""csv manager"")\n         AND toLower(cve.description) CONTAINS toLower(""xss"")\n         RETURN cve', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""easy digital downloads"")\n         AND toLower(cve.description) CONTAINS toLower(""csv manager"")\n         AND toLower(cve.description) CONTAINS toLower(""xss"")\n         RETURN cve, w\n         LIMIT 1', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""easy digital downloads"")\n         AND toLower(cve.description) CONTAINS toLower(""csv manager"")\n         AND toLower(cve.description) CONTAINS toLower(""xss"")\n         RETURN cve, w\n         LIMIT 1', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""easy digital downloads"")\n         AND toLower(cve.description) CONTAINS toLower(""csv manager"")\n         AND toLower(cve.description) CONTAINS toLower(""xss"")\n         RETURN cve, w\n         LIMIT 1', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""easy digital downloads"")\n         AND toLower(cve.description) CONTAINS toLower(""csv manager"")\n         AND toLower(cve.description) CONTAINS toLower(""xss"")\n         RETURN cve, w\n         LIMIT 1', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""easy digital downloads"")\n         AND toLower(cve.description) CONTAINS toLower(""csv manager"")\n         AND toLower(cve.description) CONTAINS toLower(""xss"")\n         RETURN cve, w\n         LIMIT']"
"What is the cwe of the cve with description 'The ""Duplicate Post"" WordPress plugin up to and including version 1.1.9 is vulnerable to SQL Injection. SQL injection vulnerabilities occur when client supplied data is included within an SQL Query insecurely. SQL Injection can typically be exploited to read, modify and delete SQL table data. In many cases it also possible to exploit features of SQL server to execute system commands and/or access the local file system. This particular vulnerability can be exploited by any authenticated user who has been granted access to use the Duplicate Post plugin. By default, this is limited to Administrators, however the plugin presents the option to permit access to the Editor, Author, Contributor and Subscriber roles.'?",CWE-89,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""sql injection"")\n         AND toLower(cve.description) CONTAINS toLower(""duplicate post"")\n         AND toLower(cve.description) CONTAINS toLower(""sql table data"")\n         AND toLower(cve.description) CONTAINS toLower(""sql server"")\n         AND toLower(cve.description) CONTAINS toLower(""authenticated user"")\n         AND toLower(cve.description) CONTAINS toLower(""sql query"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w']"
What is the cwe of the cve with description 'A vulnerability has been identified in SINEMA Remote Connect Server (All versions < V3.0 SP2). An unauthenticated attacker in the same network of the affected system could brute force the usernames from the affected software.'?,CWE-799,"['MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""sinema remote connect server"")\n         AND toLower(cve.description) CONTAINS toLower(""all versions < v3.0 sp2"")\n         AND toLower(cve.description) CONTAINS toLower(""unauthenticated attacker"")\n         AND toLower(cve.description) CONTAINS toLower(""brute force usernames"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""sinema remote connect server"")\n         AND toLower(cve.description) CONTAINS toLower(""all versions < v3.0 sp2"")\n         AND toLower(cve.description) CONTAINS toLower(""unauthenticated attacker"")\n         AND toLower(cve.description) CONTAINS toLower(""brute force usernames"")\n         AND toLower(cve.description) CONTAINS toLower(""affected software"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""sinema remote connect server"")\n         AND toLower(cve.description) CONTAINS toLower(""all versions < v3.0 sp2"")\n         AND toLower(cve.description) CONTAINS toLower(""unauthenticated attacker"")\n         AND toLower(cve.description) CONTAINS toLower(""brute force usernames"")\n         AND toLower(cve.description) CONTAINS toLower(""affected software"")\n         AND toLower(cve.description) CONTAINS toLower(""network"")\n         OPTIONAL MATCH (cve)-[:HAS_CWE]->(w:CWE)\n         RETURN w', 'MATCH (cve:CVE)\n         WHERE toLower(cve.description) CONTAINS toLower(""sinema remote connect server"")\n         AND toLower(cve.description) CONTAINS toLower(""all versions < v3.0 sp2"")\n         AND toLower(cve.description) CONTAINS toLower(""unauthenticated attacker"")\n         AND toLower(cve.description) CONTAINS toLower(""brute force usernames"")\n         AND toLower(cve.description) CONTAINS toLower(""affected software"")\n         AND toLower(cve.description) CONTAINS toLower(""network"")\n         AND toLower(cve.description) CONTAINS toLower(""same"")\n         OPTIONAL']"
